CustomerId,Recency,Frequency,Monetary,TotalQuantity,UniqueProducts,AvgUnitPrice,AvgBasketValue,FirstPurchase,LastPurchase,TenureDays,AvgOrderValue,AvgOrderItems,ReturnInvoices,Country,ReturnRate,log_Recency,log_Frequency,log_Monetary,log_TotalQuantity,log_UniqueProducts,log_AvgOrderValue
12346.0,326,1,77183.6,74215,1,1.04,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,0,77183.6,74215.0,1,United Kingdom,0.5,5.7899601708972535,0.6931471805599453,11.253955234248428,11.214735039333107,0.6931471805599453,11.253955234248428
12347.0,2,7,4310.0,2458,103,2.644010989010989,23.681318681318682,2010-12-07 14:57:00,2011-12-07 15:52:00,365,615.7142857142857,351.14285714285717,0,Iceland,0.0,1.0986122886681096,2.0794415416798357,8.368925174747135,7.807510042216193,4.6443908991413725,6.424405846500164
12348.0,75,4,1437.24,2332,21,0.692962962962963,53.23111111111111,2010-12-16 19:09:00,2011-09-25 13:13:00,282,359.31,583.0,0,Finland,0.0,4.330733340286331,1.6094379124341003,7.271175422825089,7.75491027202143,3.091042453358316,5.886964772017798
12349.0,19,1,1457.55,630,72,4.237500000000001,20.24375,2011-11-21 09:51:00,2011-11-21 09:51:00,0,1457.55,630.0,0,Italy,0.0,2.995732273553991,0.6931471805599453,7.285198070516535,6.447305862541213,4.290459441148391,7.285198070516535
12350.0,310,1,294.4,196,16,1.58125,18.4,2011-02-02 16:01:00,2011-02-02 16:01:00,0,294.4,196.0,0,Norway,0.0,5.739792912179234,0.6931471805599453,5.68833037009728,5.2832037287379885,2.833213344056216,5.68833037009728
12352.0,36,7,1385.74,526,57,4.075454545454545,17.996623376623376,2011-02-16 12:33:00,2011-11-03 14:37:00,260,197.96285714285713,75.14285714285714,1,Norway,0.125,3.6109179126442243,2.0794415416798357,7.234710947804242,6.267200548541362,4.060443010546419,5.293118159780344
12353.0,204,1,89.0,20,4,6.074999999999999,22.25,2011-05-19 17:47:00,2011-05-19 17:47:00,0,89.0,20.0,0,Bahrain,0.0,5.3230099791384085,0.6931471805599453,4.499809670330265,3.044522437723423,1.6094379124341003,4.499809670330265
12354.0,232,1,1079.4,530,58,4.5037931034482765,18.610344827586207,2011-04-21 13:11:00,2011-04-21 13:11:00,0,1079.4,530.0,0,Spain,0.0,5.4510384535657,0.6931471805599453,6.985086621918461,6.274762021241939,4.07753744390572,6.985086621918461
12355.0,214,1,459.4,240,13,4.203846153846154,35.33846153846154,2011-05-09 13:49:00,2011-05-09 13:49:00,0,459.4,240.0,0,Bahrain,0.0,5.3706380281276624,0.6931471805599453,6.132095676847728,5.484796933490655,2.639057329615259,6.132095676847728
12356.0,23,3,2487.43,1573,52,2.9460344827586207,42.88672413793103,2011-01-18 09:50:00,2011-11-17 08:40:00,302,829.1433333333333,524.3333333333334,0,Portugal,0.0,3.1780538303479458,1.3862943611198906,7.819407268507752,7.3613754289773485,3.970291913552122,6.721598376644362
